"","G1Sample1","G1Sample2","G1Sample3","G1Sample4","G1Sample5","G1Sample6","G1Sample7","G1Sample8","G1Sample9","G1Sample10","G1Sample11","G1Sample12","G1Sample13","G1Sample14","G1Sample15","G1Sample16","G1Sample17","G1Sample18","G1Sample19","G1Sample20","G1Sample21","G1Sample22"
"Feature47",0.544731904,0.898363124,0.563580324,0.685404496,0.734056761,0.764007399,0.51110245,0.441855639,0.929406827,0.533002366,0.2661732,0.604860299,0.403729999,0.308375017,0.991761,0.471243026,0.728959941,0.98747,0.430133579,0.930460241,0.529082829,0.665132603
"Feature48",0.233054236,0.81572668,0.940438443,0.54814682,0.982487203,0.200201307,0.561936278,0.500579729,0.47077798,0.125147338,0.862697462,0.750413788,0.636324817,0.755044549,0.820481333,0.967782066,0.815309801,0.989398,0.569628876,0.250628069,0.198568512,0.654383632
"Feature49",0.724225846,0.433059216,0.996491,0.897579758,0.544495493,0.992864661,0.713772519,0.424302303,0.363825213,0.35059871,0.871772341,0.693419701,0.414616852,0.581260599,0.998419,0.974207402,0.944960241,0.998797,0.968650849,0.456723908,0.870626462,0.749966606
"Feature50",0.856650407,0.79804544,0.797163863,0.845693864,0.865912166,0.813653511,0.85865769,0.750153848,0.936677461,0.691418116,0.730948659,0.864769017,0.762718623,0.967812324,0.948107406,0.747971011,0.988186593,0.979865,0.801916833,0.892822811,0.781235273,0.769726169
"Feature51",0.762199148,0.329064192,0.364789878,0.500568732,0.976750604,0.398495645,0.395013508,0.312033247,0.904847147,0.67721715,0.784987932,0.573071908,0.441357992,0.505039748,0.852583889,0.326065445,0.976243599,0.984691,0.462403607,0.769458686,0.3776314,0.372626142
"Feature52",0.351331438,0.429793349,0.929005137,0.434764722,0.816932476,0.334812047,0.315370368,0.767669287,0.205948383,0.330159047,0.671030157,0.686261045,0.725084525,0.559500102,0.93339992,0.494531026,0.650551228,0.985511,0.782529104,0.469044097,0.368158951,0.395514077
"Feature53",0.988414135,0.959239601,0.887291393,0.684521643,0.384629476,0.895755707,0.663903931,0.441037015,0.91378243,0.674491631,0.669666051,0.737540394,0.711268622,0.233433761,0.476361784,0.758232626,0.903379689,0.999933,0.920949439,0.708091111,0.467613793,0.295850736
"Feature54",0.994523389,0.978801977,0.892534977,0.672306744,0.379646596,0.905392253,0.663882183,0.429603763,0.909537293,0.66716863,0.665548461,0.733951142,0.696543371,0.232559808,0.462795854,0.753897103,0.907679399,0.990972,0.922545237,0.702760285,0.465626824,0.289589565
"Feature55",0.993353128,0.975169813,0.897297585,0.671426193,0.375894508,0.796822937,0.648079867,0.433061746,0.863547774,0.477517436,0.66291361,0.609653273,0.701128371,0.256209322,0.474290245,0.437905297,0.890029951,0.999356,0.886422113,0.693479203,0.471039327,0.473536701
"Feature56",0.681321123,0.627480627,0.980978576,0.708215541,0.699853312,0.644339943,0.979899585,0.590316304,0.986456828,0.998146644,0.910280835,0.674117384,0.958976774,0.878908448,0.985744,0.652327132,0.981470042,0.987973,0.713017173,0.979427317,0.976086263,0.690270386
"Feature57",0.992137108,0.977032475,0.988384,0.856829083,0.829277262,0.797468005,0.926272358,0.726638265,0.997081194,0.99494651,0.948243869,0.72828851,0.949662212,0.972032601,0.978252,0.722851062,0.983891502,0.981087,0.965093173,0.99940613,0.978732445,0.74227551
"Feature58",0.957145754,0.964928983,0.992413,0.969509248,0.949114926,0.936166681,0.950945475,0.93529916,0.984572593,0.974973631,0.930046858,0.918614283,0.922540302,0.912486864,0.998552988,0.927751746,0.903051635,0.992856,0.979738457,0.897572171,0.920185824,0.975469731
"Feature59",0.941345854,0.901708384,0.993123,0.92634855,0.934604855,0.9243868,0.963027276,0.883950882,0.981299113,0.984622739,0.880234377,0.977308039,0.868313058,0.852953105,0.922487586,0.879062817,0.97513869,0.9849,0.983849896,0.951524732,0.972083591,0.869502816
"Feature60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature61",0.973242143,0.539753579,0.982167,0.982154117,0.618902234,0.548164433,0.989659926,0.68192865,0.984163327,0.944014467,0.811672014,0.916529727,0.465207923,0.980230302,0.996446,0.379519612,0.944352648,0.991129,0.543633032,0.979055957,0.957695668,0.430225638
"Feature62",0.978014795,0.526849888,0.983925,0.99685501,0.609611215,0.532212388,0.989417979,0.675607432,0.979245304,0.95455983,0.816240928,0.917797812,0.429696497,0.979605346,0.977799,0.356372588,0.946060127,0.980349,0.519030815,0.993039123,0.938188352,0.39759398
"Feature63",0.867090932,0.958063259,0.80670418,0.850318573,0.879874253,0.8726044,0.896388893,0.810568701,0.868839179,0.837072372,0.86968146,0.906248865,0.92470365,0.873317969,0.992313971,0.918159785,0.930935339,0.915279941,0.905981999,0.879637149,0.907433863,0.92941828
"Feature64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature65",0.202605582,0.496872966,0.794339194,0.348371286,0.261662864,0.24421368,0.282147,0.414468808,0.946294715,0.492200665,0.72974392,0.349059256,0.713233552,0.187985437,0.986343,0.702115974,0.817283847,0.979873,0.988132965,0.342755314,0.923874661,0.377195676
"Feature66",0.556495321,0.797986102,0.977971924,0.587521014,0.618784781,0.557070797,0.893859286,0.930911802,0.839244119,0.568388369,0.833675665,0.429905881,0.711975532,0.85684718,0.992669998,0.604869257,0.703496799,0.979372,0.469326498,0.802723557,0.606219354,0.411139893
"Feature67",0.195564364,0.665795818,0.156802563,0.321890813,0.365963549,0.470041848,0.639917828,0.402769175,0.981990014,0.767868444,0.478602033,0.897605492,0.788022358,0.781800171,0.997670875,0.232732691,0.840815518,0.98232,0.351441973,0.807380024,0.682901711,0.519776454
