"","G1Sample1","G1Sample2","G1Sample3","G1Sample4","G1Sample5","G1Sample6","G1Sample7","G1Sample8","G1Sample9","G1Sample10","G1Sample11","G1Sample12","G1Sample13","G1Sample14","G1Sample15","G1Sample16","G1Sample17","G1Sample18","G1Sample19","G1Sample20","G1Sample21","G1Sample22"
"Feature126",0.669257263,0.718638133,0.790025934,0.827771443,0.261319266,0.231668358,0.260860267,0.282645882,0.734784397,0.771920679,0.186930731,0.758388034,0.251294789,0.751801228,0.980307,0.352853097,0.877721158,0.991792,0.259168648,0.762576951,0.688849604,0.644240957
"Feature127",0.579807065,0.643501846,0.534575097,0.604026205,0.511774024,0.512432485,0.514471249,0.373462843,0.983912483,0.481279781,0.779796101,0.979242984,0.588427991,0.718710023,0.654205037,0.70273849,0.978387378,0.991339,0.941540798,0.921513958,0.737361,0.475072494
"Feature128",0.641609755,0.524690383,0.580468828,0.657143203,0.792308187,0.566793692,0.711849781,0.472538088,0.973755278,0.91977477,0.710559141,0.622804091,0.718713654,0.735581737,0.998312994,0.65631022,0.954042581,0.996814,0.695006803,0.857773232,0.661845854,0.671870129
"Feature129",0.804371832,0.271785488,0.611783096,0.071386175,0.936667336,0.841763484,0.326990651,0.132473866,0.388589925,0.429197688,0.509327272,0.656659926,0.721061932,0.873653971,0.534797788,0.661798955,0.834231142,0.990451,0.854411777,0.884410904,0.874351653,0.583902376
"Feature130",0.812297844,0.749516237,0.942735036,0.968853445,0.761765834,0.778256447,0.788238665,0.897575193,0.947213359,0.642779627,0.937471111,0.717507523,0.742808025,0.666867574,0.998603,0.725330937,0.747303716,0.982752,0.789222611,0.804000712,0.718072066,0.73526459
"Feature131",0.796777979,0.748163449,0.943828731,0.964459575,0.762397056,0.781801965,0.780178964,0.907714431,0.957703103,0.634966259,0.927033741,0.726772274,0.746238195,0.65696443,0.998642,0.733977792,0.73898668,0.978102,0.789934165,0.797712474,0.720821619,0.727088344
"Feature132",0.946425988,0.889267392,0.993033917,0.698004034,0.699885631,0.631375614,0.637939172,0.767200174,0.980180574,0.538843144,0.605141208,0.667023455,0.719200143,0.572404536,0.969182342,0.719949819,0.713896046,0.998844,0.778919052,0.679581411,0.700977151,0.679420061
"Feature133",0.708207508,0.795751324,0.995671955,0.492633278,0.52066242,0.321441864,0.485333706,0.592549536,0.836129157,0.202518631,0.636716114,0.345973586,0.754721137,0.245406282,0.991249808,0.410384506,0.971409294,0.979631,0.981041487,0.653378146,0.475767471,0.36227623
"Feature134",0.04566111,0.227243128,0.253357496,0.031709816,0.986010192,0.209410009,0.901881762,0.711436946,0.630572601,0.805060704,0.59038794,0.034964782,0.021648257,0.884352038,0.977567515,0.887221402,0.7331153,0.989143365,0.829689613,0.222336389,0.361912514,0.177339111
"Feature135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature136",0.144673442,0.453408749,0.111229535,0.789692343,0.693768249,0.440018698,0.570000355,0.304928181,0.482371574,0.836428311,0.719771154,0.777626144,0.963132814,0.881545462,0.975234402,0.677124402,0.857989695,0.996882,0.301985195,0.776438454,0.413880482,0.89797907
"Feature137",0.162278629,0.440962931,0.126195674,0.823235484,0.717657357,0.473770228,0.60187441,0.329165624,0.418696566,0.76038854,0.704591016,0.776946858,0.953683602,0.873965688,0.988319174,0.654351271,0.857547796,0.992956,0.360443843,0.786237784,0.477366774,0.889388201
"Feature138",0.375918501,0.901758362,0.551149702,0.471407332,0.959350632,0.316250276,0.559114506,0.632155526,0.588762258,0.747415489,0.702253664,0.671938525,0.543933903,0.779752732,0.886175653,0.772578358,0.818701207,0.980667,0.325793993,0.241057489,0.281489196,0.567505184
"Feature139",0.962503502,0.554583648,0.996286289,0.267433565,0.702925714,0.07914312,0.917995009,0.159439529,0.587319715,0.8867309,0.932797034,0.708118935,0.321629256,0.935539917,0.987394,0.75215689,0.896126434,0.998835,0.352029943,0.614881354,0.978431902,0.287631027
"Feature140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature141",0.610475443,0.536014257,0.993813144,0.644606789,0.600193365,0.839019715,0.71006246,0.736832939,0.486759449,0.908350959,0.941963108,0.558487267,0.763084847,0.525905683,0.928744486,0.566638474,0.989940864,0.990191,0.630288434,0.803342585,0.610574875,0.784956291
"Feature142",0.664297882,0.646539641,0.262237226,0.789590502,0.88645623,0.504089105,0.866460885,0.331769305,0.959654269,0.333475171,0.346269905,0.715088362,0.278181435,0.682860914,0.97025253,0.286899682,0.717851686,0.996546996,0.599152103,0.568323001,0.606975737,0.33460343
"Feature143",0.651252458,0.759736178,0.938037808,0.98280743,0.915429143,0.682970829,0.691238052,0.577652461,0.942693718,0.872927536,0.884970927,0.713253886,0.967903562,0.936534136,0.895485962,0.710714178,0.977155384,0.99387,0.789579114,0.960439293,0.681085885,0.712884985
"Feature144",0.362602687,0.447196007,0.338710288,0.23020326,0.369818583,0.111350472,0.391336799,0.13403914,0.110758778,0.616338886,0.835475708,0.942528997,0.673814524,0.404049526,0.771849811,0.724410433,0.705076617,0.996979,0.670743433,0.831770361,0.803930149,0.290387041
"Feature145",0.842315725,0.95228836,0.816408333,0.860037795,0.982994231,0.83839506,0.841795477,0.7295277,0.755812962,0.780891316,0.821447798,0.861762433,0.895385322,0.942219964,0.872004272,0.862372757,0.949138312,0.98579,0.996248639,0.860412425,0.87908949,0.88320107
"Feature146",0.926269522,0.995147319,0.989133998,0.973992989,0.55950002,0.902416949,0.499368921,0.457143489,0.950647161,0.480624185,0.519935617,0.597086852,0.531172947,0.592291208,0.434122,0.732712289,0.992909993,0.989094,0.894685582,0.778866415,0.989410331,0.826794721
"Feature147",0.990513559,0.984417724,0.984394124,0.830751079,0.824200572,0.771952732,0.7307985,0.618195325,0.977045427,0.534163702,0.605657863,0.752721989,0.755509632,0.971932426,0.770606733,0.574844685,0.925565992,0.987848,0.954965546,0.864375411,0.981544872,0.601844835
"Feature148",0.804476947,0.732009369,0.994012423,0.980111571,0.964699377,0.02396326,0.483768462,0.443429927,0.192639606,0.901006978,0.920014359,0.951003824,0.543331511,0.824091255,0.997671987,0.820485738,0.869593956,0.996347,0.889393983,0.570421354,0.934302312,0.429246633
"Feature149",0.123956374,0.852143988,0.995425294,0.641507662,0.859464231,0.091263005,0.643698381,0.543982226,0.39239959,0.751186765,0.930827548,0.831834094,0.183415214,0.895816015,0.984616548,0.866893461,0.984563127,0.999952,0.953533325,0.694647123,0.711370671,0.680853753
"Feature150",0.883752119,0.684816361,0.342526298,0.575455539,0.295184389,0.027361581,0.720174243,0.321231152,0.043233741,0.709621922,0.654942479,0.865807228,0.156369554,0.148914335,0.977489812,0.545261684,0.736098687,0.991217,0.672455857,0.90583985,0.247268173,0.512818956
"Feature151",0.597293535,0.399634266,0.988395217,0.267748779,0.043173673,0.108007491,0.668239342,0.672150766,0.988275959,0.817964895,0.135754141,0.255807656,0.70202259,0.866617028,0.987398,0.770179865,0.955173255,0.992211,0.625699459,0.978246981,0.298156324,0.808380661
"Feature152",0.604629466,0.87943041,0.992842346,0.67941481,0.661579159,0.987172268,0.633304035,0.570138305,0.98218029,0.961904235,0.896520186,0.942924368,0.635664258,0.906301876,0.979571004,0.611962007,0.8415075,0.991682,0.83767916,0.902945241,0.893165795,0.881568525
"Feature153",0.532168483,0.407632939,0.798988464,0.545089784,0.467409354,0.326505014,0.50824816,0.761004435,0.726326158,0.942127917,0.772638109,0.302923461,0.795043324,0.85505556,0.983114,0.944303738,0.779327496,0.978732,0.472354574,0.497894536,0.868004788,0.964353431
"Feature154",0.973850716,0.850220578,0.948849599,0.541636741,0.491409086,0.40385078,0.347962473,0.585786134,0.985120784,0.281087472,0.473454258,0.361583749,0.957353017,0.836863821,0.979643,0.906015817,0.9271112,0.999139,0.525060327,0.598357288,0.887467021,0.502855044
"Feature155",0.62853749,0.959310888,0.525928059,0.379266028,0.391355777,0.351790014,0.86313616,0.232340198,0.404413473,0.619009608,0.904169393,0.815005172,0.583825856,0.982216986,0.984909,0.986430061,0.806719443,0.992021,0.975606976,0.711458597,0.939462941,0.757132113
"Feature156",0.945141392,0.873783977,0.822226348,0.577645966,0.626494763,0.375203883,0.928853247,0.247035448,0.780500081,0.914447166,0.961039667,0.830916528,0.3772585,0.98904552,0.988515,0.991912624,0.777226338,0.985628,0.791884301,0.735146286,0.924697975,0.674501152
"Feature157",0.923157369,0.895136403,0.8948303,0.91778307,0.902751327,0.930627557,0.899148364,0.864629351,0.980176051,0.970732811,0.871099405,0.872115497,0.881917927,0.874890653,0.851290371,0.874609477,0.996031136,0.987537,0.911113486,0.854051457,0.883792822,0.88636029
"Feature158",0.934232087,0.919634044,0.935673011,0.946396935,0.93155201,0.930681117,0.929515327,0.88622542,0.997185577,0.856471936,0.891466101,0.878722724,0.905478248,0.871780729,0.86652971,0.890131152,0.991738927,0.984176,0.922244199,0.863150238,0.974821623,0.889244295
"Feature159",0.961444425,0.939871244,0.995273,0.966284844,0.963544348,0.954148225,0.995754159,0.909146627,0.97932984,0.977918118,0.984583585,0.902831691,0.889942507,0.841044073,0.89676458,0.87999334,0.965949071,0.997188,0.916835006,0.872046339,0.884892706,0.887375812
"Feature160",0.812398702,0.910812468,0.778873654,0.797325731,0.833525058,0.820253968,0.77384418,0.750899169,0.979939605,0.985069004,0.764065383,0.873740759,0.82800828,0.898218027,0.768328945,0.87904194,0.979382787,0.994121,0.976455622,0.923966456,0.829665167,0.831448383
"Feature161",0.814092033,0.933744793,0.802137269,0.815990061,0.834005244,0.843586846,0.771551174,0.74177847,0.98920465,0.965856422,0.762961054,0.869421058,0.803657049,0.901087863,0.740449896,0.751130921,0.977633375,0.992433,0.937180456,0.868139032,0.816297672,0.816530228
"Feature162",0.110696847,0.782202687,0.116686554,0.971727725,0.961145712,0.236437393,0.797888534,0.102506575,0.808865876,0.541142657,0.845694593,0.668201541,0.654500564,0.40047729,0.058038466,0.974377691,0.876347968,0.984408,0.989349497,0.13666768,0.745090256,0.605365144
"Feature163",0.525381388,0.84836698,0.544466258,0.553545589,0.568766174,0.83538227,0.850257511,0.395027354,0.908841526,0.650636415,0.753537334,0.384670153,0.866363831,0.479678453,0.99679,0.385583644,0.916606744,0.985416,0.56535178,0.962143844,0.60111142,0.396277994
"Feature164",0.92983168,0.755531474,0.962288296,0.808310145,0.514987748,0.450687424,0.810090129,0.543793172,0.346617593,0.678866971,0.720628133,0.946151971,0.710386888,0.62292145,0.985101335,0.701714774,0.949725828,0.983706,0.953084931,0.807369887,0.813762484,0.859210744
"Feature165",0.900969447,0.988545989,0.87274698,0.894814683,0.939612248,0.938353848,0.934191052,0.801459726,0.851975694,0.715026473,0.752912877,0.764697045,0.769515858,0.727170125,0.913068804,0.981390083,0.961210652,0.99753,0.82161173,0.934192399,0.922498484,0.785688695
"Feature166",0.966433088,0.997477,0.869715667,0.8835973,0.893644699,0.901907342,0.982823675,0.832802753,0.978682924,0.780620363,0.908696114,0.814499153,0.908929239,0.7853111,0.914088755,0.912550165,0.978562449,0.977862,0.83792289,0.979148701,0.813555459,0.817318007
"Feature167",0.352508459,0.733089968,0.984005081,0.099059681,0.749102551,0.981781218,0.080473512,0.106078789,0.127558915,0.624776201,0.635274509,0.751246162,0.854259252,0.805210254,0.983875,0.767111854,0.979536769,0.995966,0.626979157,0.419355317,0.660747025,0.438431126
"Feature168",0.596770855,0.519476135,0.744025045,0.131174582,0.974878016,0.413595659,0.788262557,0.724111721,0.468388263,0.787888533,0.604099716,0.39178203,0.636988389,0.221993828,0.997751,0.42343693,0.854046019,0.997468,0.734746592,0.837627572,0.125832378,0.404482871
"Feature169",0.289567904,0.433130968,0.989655364,0.85383746,0.352196542,0.351233589,0.899197711,0.587560721,0.565390181,0.731988898,0.512842357,0.640900961,0.47171208,0.945599202,0.64186615,0.961281651,0.872636062,0.988105,0.493019962,0.798891507,0.699527925,0.456737612
"Feature170",0.90184962,0.985261753,0.111416617,0.215544479,0.088394055,0.144331784,0.955651302,0.72731392,0.997216139,0.3306328,0.643715414,0.733404709,0.921619997,0.728711327,0.98051,0.21336888,0.851205421,0.989034,0.488517001,0.987936713,0.959173138,0.277305902
"Feature171",0.859645811,0.846378054,0.867523917,0.898597331,0.903911946,0.866423619,0.885163709,0.760587267,0.989216743,0.909983608,0.736426764,0.76274752,0.766531809,0.863112071,0.797898639,0.762102896,0.984802651,0.987777,0.78844676,0.982317978,0.7518287,0.981779997
"Feature172",0.841917623,0.849380121,0.869742564,0.887007535,0.880197569,0.909384062,0.885069722,0.760064784,0.99838337,0.835309695,0.72141748,0.759221081,0.729985702,0.89843589,0.877266488,0.878361412,0.942277516,0.999159,0.782776375,0.837448381,0.751728536,0.86976754
"Feature173",0.9240069,0.462705347,0.518809537,0.588571247,0.945639452,0.559502785,0.735162035,0.704513758,0.566712948,0.39902405,0.794776487,0.521383378,0.584056553,0.650086921,0.98275785,0.563619127,0.858131882,0.994206,0.821627907,0.524320574,0.574925904,0.582338614
"Feature174",0.828331452,0.751488215,0.779725359,0.95928537,0.816255193,0.797183666,0.78735654,0.687968658,0.748757803,0.860303264,0.897776344,0.777974551,0.814890481,0.752630521,0.987724055,0.811626599,0.775629921,0.991575999,0.818743651,0.765172522,0.802896978,0.804038371
"Feature175",0.830812728,0.735073126,0.782975764,0.956885665,0.804118703,0.784997124,0.788367508,0.697276954,0.734954247,0.866728401,0.898229792,0.783549504,0.803946852,0.749362722,0.99423468,0.797668454,0.772001802,0.997651,0.815695504,0.77185556,0.789100873,0.800678645
"Feature176",0.00207231,0.313851004,0.000359296,0.39283014,0.580568239,0.01066305,0.805336128,0.505409293,0.105266049,0.863866635,0.447296305,0.099923521,0.517371701,0.551956166,0.993334989,0.497613224,0.818212552,0.999872,0.735719166,0.491190077,0.394243844,0.479626467
"Feature177",0.95575661,0.857219515,0.054280666,0.160316761,0.207258652,0.591381532,0.650570446,0.076201874,0.567562715,0.974775384,0.798347483,0.713071851,0.326931768,0.662191064,0.390189275,0.854220165,0.641674621,0.988895,0.9430518,0.916796206,0.20219755,0.385603902
"Feature178",0.959079873,0.979430053,0.048415096,0.143940472,0.193979636,0.077495131,0.745341754,0.065920913,0.363477833,0.998310985,0.636455194,0.717601821,0.377893483,0.54065755,0.098277118,0.913909699,0.571623903,0.991142,0.962733922,0.903618199,0.406776877,0.28826788
"Feature179",0.628592377,0.926879819,0.944554648,0.694716334,0.574347269,0.752538056,0.178701462,0.292705593,0.673667715,0.576363958,0.684343715,0.630547607,0.561956117,0.690571622,0.99236,0.608418897,0.846402393,0.984549,0.331372307,0.8549477,0.350437519,0.376272436
"Feature180",0.772736473,0.177801259,0.205234145,0.422701872,0.021601156,0.424078162,0.195040249,0.180683663,0.887060797,0.730531006,0.329379289,0.893110124,0.381414422,0.562052145,0.978788,0.496792931,0.740667211,0.994826,0.291217627,0.425937654,0.311020858,0.179217814
"Feature181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature182",0.890828516,0.614916522,0.078860957,0.099351119,0.096713915,0.093979675,0.439681167,0.992525215,0.925411327,0.251611807,0.146736131,0.803194092,0.670592786,0.612399254,0.119266854,0.192583218,0.854031262,0.995879,0.110518461,0.905379419,0.988419984,0.193434432
"Feature183",0.260808111,0.929334083,0.681462811,0.105620476,0.967164351,0.847535431,0.118809299,0.981218568,0.794213625,0.304351832,0.072205282,0.787510338,0.689188019,0.681639844,0.160216479,0.278284801,0.509026839,0.99841,0.352719087,0.551665185,0.934755753,0.286017358
"Feature184",0.156632535,0.940929776,0.985969939,0.184119458,0.709950969,0.731064206,0.754427594,0.784301216,0.410978114,0.813093876,0.752632428,0.457954191,0.577058513,0.838237389,0.985983,0.689177162,0.913224527,0.993642,0.311515775,0.921481077,0.809605492,0.542938754
"Feature185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature186",0.874608469,0.829222445,0.988579372,0.883469278,0.866847583,0.806784473,0.816849816,0.981502458,0.97978815,0.915020289,0.791329765,0.780677179,0.932887603,0.984041173,0.995981999,0.767386347,0.992512994,0.990989,0.825858455,0.720504541,0.790441914,0.768976305
"Feature187",0.870216509,0.823667323,0.985049941,0.8773124,0.871304358,0.805372028,0.81598197,0.973643827,0.991542732,0.898173783,0.795167437,0.778736329,0.77396824,0.984846978,0.984330995,0.770073246,0.978200953,0.979339,0.825518464,0.718082869,0.790962696,0.764337638
"Feature188",0.916892689,0.8732739,0.989844881,0.900480359,0.88929321,0.857879948,0.862488762,0.950242522,0.998079869,0.938120338,0.848341726,0.823987196,0.825839635,0.97789497,0.979967697,0.838397213,0.980920999,0.988923,0.878730515,0.782056621,0.841274157,0.827096449
"Feature189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature190",0.957783571,0.964519628,0.966104588,0.972352817,0.962667485,0.960239509,0.938730631,0.910427988,0.991030251,0.894517161,0.922512633,0.911970823,0.917116132,0.903141639,0.914218357,0.97191588,0.991460802,0.991347,0.925417531,0.996784186,0.915745781,0.916209501
"Feature191",0.950897831,0.944851141,0.941236804,0.994443064,0.951879471,0.947869773,0.94191339,0.899462528,0.99821089,0.886363143,0.915387289,0.906598726,0.970447649,0.880301814,0.896540148,0.963524613,0.993712992,0.991899,0.926319483,0.978128268,0.89790978,0.908565468
"Feature192",0.877062759,0.871822115,0.997229928,0.928650808,0.931745193,0.914871184,0.916854266,0.813466029,0.949248429,0.82130665,0.855216564,0.882529254,0.973860794,0.954372734,0.967571767,0.848383419,0.978393474,0.987369,0.915769551,0.985649637,0.985362716,0.882343543
"Feature193",0.976398579,0.451970389,0.45783991,0.100142314,0.788195851,0.658521314,0.896294413,0.286621655,0.149989217,0.464779622,0.334264907,0.467448266,0.526208122,0.854659178,0.993076391,0.679981283,0.895762303,0.999384,0.696185163,0.548879256,0.49298537,0.278241718
"Feature194",0.570921557,0.930524644,0.606611448,0.661580449,0.241141822,0.48361636,0.739689264,0.099370984,0.643128094,0.726275056,0.052054399,0.83875053,0.641947733,0.411194421,0.148128618,0.359520223,0.901246358,0.341472959,0.058059763,0.498279128,0.954895276,0.289418455
"Feature195",0.804156002,0.579024085,0.287239643,0.684892895,0.058087501,0.287973225,0.100575094,0.272858733,0.541922993,0.691941626,0.46965753,0.42026785,0.905065365,0.203587365,0.707178659,0.901848376,0.475678578,0.990062,0.637109417,0.755797943,0.613145934,0.459252562
"Feature196",0.276147918,0.687312404,0.972474875,0.243789697,0.448936142,0.610427028,0.201996183,0.339203522,0.785243097,0.536186163,0.533941227,0.437746085,0.461735839,0.341676303,0.983734027,0.771484426,0.826124805,0.98918,0.585105973,0.785348167,0.931588044,0.255098067
"Feature197",0.561065563,0.929596535,0.200641665,0.831119893,0.072132144,0.130281558,0.29391831,0.056696285,0.223275655,0.11360297,0.512367509,0.350591784,0.620090912,0.758968348,0.220270221,0.205546164,0.594694978,0.985568,0.390764641,0.83104692,0.417575949,0.54280952
"Feature198",0.9146999,0.969349373,0.978239616,0.961251423,0.888283094,0.320734485,0.96999489,0.729077889,0.986584746,0.518327151,0.200691963,0.834867671,0.579818352,0.986543932,0.996066,0.859992431,0.986221885,0.997351,0.739997673,0.964863407,0.976216778,0.758484219
"Feature199",0.079257896,0.989668664,0.056582386,0.982109954,0.123801866,0.105416909,0.935207087,0.034675809,0.737697421,0.567058,0.789299541,0.571403686,0.356817466,0.212323714,0.9956,0.829797999,0.68974829,0.986544,0.537815407,0.519920066,0.239494498,0.556854182
"Feature200",0.877182331,0.888712372,0.770343544,0.806887484,0.771714327,0.730449824,0.981671716,0.621156663,0.85347718,0.85450203,0.613866673,0.643222309,0.652221715,0.801752515,0.575537129,0.85330189,0.612315734,0.983647999,0.668639463,0.602777012,0.628740334,0.645863185
"Feature201",0.09101403,0.469511271,0.931615396,0.386112584,0.342540048,0.490876228,0.172724831,0.059887329,0.419037503,0.199704102,0.099437062,0.314174436,0.357387992,0.684011918,0.982824992,0.413451278,0.303477709,0.665049089,0.242120128,0.086831278,0.666167118,0.470724648
"Feature202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature207",0.804092705,0.981163351,0.989624069,0.797675041,0.943852201,0.809501687,0.927984882,0.769767892,0.739214221,0.720927681,0.776436755,0.842590867,0.754619836,0.711813956,0.999763,0.765024384,0.724493684,0.765154799,0.777711502,0.842493707,0.890226495,0.760513706
"Feature208",0.498084146,0.816311117,0.663711179,0.500517229,0.911243405,0.712404146,0.412528928,0.669108024,0.554338843,0.483271218,0.876711674,0.919351416,0.303048635,0.794593292,0.997156,0.481913368,0.978664012,0.988177,0.569813461,0.875076827,0.896309671,0.30879153
"Feature209",0.427992289,0.91156214,0.797174377,0.417510911,0.852337358,0.636253721,0.361414793,0.690981753,0.477264925,0.43123275,0.78328153,0.887873067,0.255532166,0.732084974,0.989807,0.533792037,0.963768637,0.996431,0.513365645,0.854185405,0.891507647,0.257542747
"Feature210",0.77310231,0.6522346,0.826589351,0.779821548,0.765811013,0.58274876,0.688530938,0.555533661,0.557745058,0.720364804,0.571836307,0.697119072,0.546171773,0.262389372,0.986251,0.785298795,0.60911916,0.994611,0.82707528,0.941491439,0.633414353,0.372634574
"Feature211",0.973025531,0.981850308,0.975687246,0.973352017,0.969364776,0.977492347,0.989483194,0.973332401,0.935078595,0.946626667,0.954285769,0.969841136,0.974513,0.940327246,0.98463526,0.989458487,0.940415529,0.984698,0.949010021,0.955658969,0.984948367,0.956046
"Feature212",0.98477908,0.876348199,0.98743025,0.93432137,0.908420432,0.90237978,0.898314854,0.875554592,0.994005314,0.883817777,0.908129373,0.92312684,0.933258906,0.893759016,0.979538,0.972591707,0.920191077,0.984093,0.940666613,0.911906622,0.922063697,0.919003347
"Feature213",0.867179755,0.861474752,0.984989673,0.887236673,0.897958795,0.873471035,0.877338466,0.766083234,0.9805515,0.758043917,0.78697942,0.786118185,0.838152693,0.772053189,0.978519,0.910232677,0.935240042,0.986583,0.841080124,0.806202039,0.90878643,0.823412434
"Feature214",0.793118675,0.789883598,0.990685165,0.292685091,0.022698872,0.026726643,0.477173409,0.196578826,0.995065241,0.850337327,0.094636075,0.872999071,0.769634897,0.254633534,0.98069,0.372720667,0.450364718,0.988739,0.485381486,0.452608118,0.087969914,0.276427751
"Feature215",0.821464059,0.900418297,0.221950861,0.523792131,0.9239273,0.242478897,0.911185158,0.187831563,0.610291366,0.611144619,0.334802493,0.289687212,0.288035985,0.744099078,0.991567,0.923997157,0.90708189,0.488210701,0.490291037,0.698541923,0.415853958,0.155516605
"Feature216",0.799897481,0.671779808,0.195958792,0.499063772,0.915387949,0.212581967,0.903304789,0.314897218,0.568242311,0.609616702,0.153327934,0.38510471,0.245319456,0.697451719,0.977734,0.962006239,0.88519086,0.525835077,0.451952895,0.727210962,0.484000041,0.134610932
"Feature217",0.364810309,0.759991245,0.291923859,0.3380895,0.972715627,0.578570814,0.44625129,0.124552084,0.977348473,0.377853328,0.515496728,0.91498087,0.934760152,0.629653262,0.265843849,0.698140011,0.960588018,0.996928,0.538382705,0.872379125,0.191426421,0.217000158
"Feature218",0.48047588,0.890107938,0.384897116,0.413669793,0.906321252,0.5511681,0.305605136,0.229279467,0.969198587,0.249965725,0.276536808,0.935297036,0.939741385,0.268816869,0.304642137,0.533872434,0.974854872,0.984975,0.534925715,0.891967773,0.401010251,0.415843564
"Feature219",0.045867282,0.782890462,0.461102455,0.621510361,0.568294852,0.462337484,0.031679143,0.325151,0.167342135,0.642489507,0.7289929,0.655118286,0.966124663,0.581967028,0.887728682,0.830494696,0.883004231,0.998216,0.019751278,0.823726657,0.444553276,0.641618844
"Feature220",0.971976666,0.954184683,0.963785453,0.953574948,0.955132978,0.954163577,0.948129767,0.957012808,0.965915793,0.953315644,0.946667313,0.964484268,0.953900972,0.96007463,0.948095918,0.966634101,0.962195224,0.989369844,0.956748527,0.954494093,0.951173905,0.959794888
"Feature221",0.71290139,0.702598799,0.843225386,0.752173776,0.752808512,0.679823586,0.831483244,0.55631573,0.537310224,0.506028865,0.585327878,0.600350352,0.637831321,0.72855771,0.976858,0.773793518,0.947592819,0.583886182,0.849781809,0.737363223,0.97199589,0.607171761
"Feature222",0.500872647,0.448916448,0.415670195,0.534852098,0.546160152,0.656314057,0.601695716,0.605115143,0.697260219,0.60696407,0.847323795,0.360359755,0.38509939,0.650564458,0.988372,0.722579002,0.952005256,0.633190392,0.731418325,0.467791853,0.940986145,0.366169663
"Feature223",0.973266229,0.73623793,0.790295839,0.953245971,0.891040853,0.762519751,0.685991577,0.882596502,0.975857254,0.617762211,0.712588124,0.703162313,0.930064127,0.770776663,0.98034183,0.687424646,0.933363571,0.913660229,0.703276232,0.61160657,0.657835999,0.658798146
"Feature224",0.982590876,0.990229843,0.686129579,0.310726822,0.984487614,0.358203633,0.997264998,0.122702138,0.987689727,0.576793036,0.77110965,0.988603741,0.545000194,0.076894905,0.991772,0.113251358,0.73361949,0.980205,0.669505171,0.398938897,0.363410166,0.125414067
"Feature225",0.952423982,0.962622327,0.935686326,0.851954998,0.86838495,0.145642189,0.942041014,0.786406092,0.359743852,0.585618589,0.586323012,0.700995111,0.895412496,0.316931395,0.979534,0.605783949,0.976285692,0.994455,0.861549287,0.985827313,0.680040032,0.308402016
"Feature226",0.470545403,0.652905342,0.990068704,0.077776468,0.130200452,0.093174981,0.287060603,0.04182567,0.75528687,0.081861052,0.905757457,0.095902478,0.330793082,0.686049606,0.990592,0.541207387,0.812913034,0.996690375,0.252997355,0.608492558,0.46094083,0.205737757
"Feature227",0.743279962,0.836382413,0.979860961,0.095427446,0.124597871,0.095414642,0.573137126,0.059466401,0.880739968,0.119422933,0.866641575,0.118740985,0.465834807,0.659773096,0.994649,0.514714337,0.898659411,0.998816749,0.232357596,0.797614476,0.661392201,0.32074358
"Feature228",0.338102003,0.244133325,0.94954522,0.331318378,0.404359423,0.646473667,0.975744812,0.20308989,0.906972714,0.307281226,0.265148919,0.290609972,0.518039998,0.811255731,0.986455,0.271253594,0.945297407,0.989995,0.731229879,0.881831612,0.742434966,0.298698282
"Feature229",0.800601693,0.719830194,0.777466728,0.874686884,0.828691759,0.947728498,0.788051992,0.659456429,0.991786907,0.611937506,0.666867962,0.704082383,0.740294288,0.638275042,0.942577123,0.901026033,0.948270776,0.992198,0.969063005,0.978030109,0.765346017,0.745235792
"Feature230",0.749645849,0.992244667,0.73374135,0.835532626,0.785798409,0.934351722,0.753066101,0.590387777,0.99922482,0.546177512,0.606977758,0.644927552,0.69007275,0.578011838,0.84589241,0.95498824,0.99086141,0.990678,0.981562325,0.992124017,0.716923403,0.682803587
